2026-04-19 23:24:59 | INFO     | surveillance | ============================================================
2026-04-19 23:24:59 | INFO     | surveillance |  Smart Surveillance System v1.0
2026-04-19 23:24:59 | INFO     | surveillance |  Camera  : 0
2026-04-19 23:24:59 | INFO     | surveillance |  Model   : yolov8m.pt  (device=cpu)
2026-04-19 23:24:59 | INFO     | surveillance |  Server  : http://0.0.0.0:8000
2026-04-19 23:24:59 | INFO     | surveillance | ============================================================
2026-04-19 23:24:59 | INFO     | surveillance | FastAPI startup – launching surveillance pipeline
2026-04-19 23:24:59 | INFO     | surveillance | Surveillance pipeline started OK
2026-04-19 23:25:03 | INFO     | surveillance | Loading YOLO model: yolov8m.pt on cpu
2026-04-19 23:25:48 | INFO     | surveillance | YOLO model loaded OK
2026-04-19 23:25:48 | INFO     | surveillance | DeepSORT tracker initialized OK
2026-04-19 23:25:48 | INFO     | surveillance | Opening camera: 0
2026-04-19 23:26:33 | INFO     | surveillance | Camera released
2026-04-19 23:26:33 | INFO     | surveillance | Surveillance pipeline stopped
2026-04-19 23:40:03 | INFO     | surveillance | ============================================================
2026-04-19 23:40:03 | INFO     | surveillance |  Smart Surveillance System v1.0
2026-04-19 23:40:03 | INFO     | surveillance |  Camera  : 0
2026-04-19 23:40:03 | INFO     | surveillance |  Model   : yolov8m.pt  (device=cpu)
2026-04-19 23:40:03 | INFO     | surveillance |  Server  : http://0.0.0.0:8000
2026-04-19 23:40:03 | INFO     | surveillance | ============================================================
2026-04-19 23:40:03 | INFO     | surveillance | FastAPI startup – launching surveillance pipeline
2026-04-19 23:40:03 | INFO     | surveillance | Surveillance pipeline started OK
2026-04-19 23:40:07 | INFO     | surveillance | Loading YOLO model: yolov8m.pt on cpu
2026-04-19 23:40:07 | INFO     | surveillance | YOLO model loaded OK
2026-04-19 23:40:08 | INFO     | surveillance | DeepSORT tracker initialized OK
2026-04-19 23:40:08 | INFO     | surveillance | Opening camera: 0
2026-04-19 23:41:58 | INFO     | surveillance | Camera released and windows closed
2026-04-19 23:41:58 | INFO     | surveillance | Surveillance pipeline stopped
2026-04-19 23:47:35 | INFO     | surveillance | ============================================================
2026-04-19 23:47:35 | INFO     | surveillance |  Smart Surveillance System v1.0
2026-04-19 23:47:35 | INFO     | surveillance |  Camera  : 0
2026-04-19 23:47:35 | INFO     | surveillance |  Model   : yolov8n.pt  (device=cpu)
2026-04-19 23:47:35 | INFO     | surveillance |  Server  : http://0.0.0.0:8000
2026-04-19 23:47:35 | INFO     | surveillance | ============================================================
2026-04-19 23:47:35 | INFO     | surveillance | FastAPI startup – launching surveillance pipeline
2026-04-19 23:47:35 | INFO     | surveillance | Surveillance pipeline started OK
2026-04-19 23:47:39 | INFO     | surveillance | Loading YOLO model: yolov8n.pt on cpu
